Name,ID,Preferred Address City,Preferred Address State Code
china medical university hospotil,6092,taichung,
Choice Clinical Research,5697,Cincinnati,OH
CHOITHRAM HOSPITAL,2799,INDORE,
ChristianaCare,2945,Newark,DE
Christie Clinic,4170,Champaign,IL
Chung Shan Medical University Hospital,4163,Taichung,
Chungbuk National University Hospital,4177,Jeonju-si,
Cincinnati Education & Research for Veterans Foundation,3512,Cincinnati,OH
Cincinnati Eye Institute,3413,Cincinnati,OH
CIRCARIBE S.A.S,3697,Barranquilla,Atlántico
Circuit Clinical,4081,Buffalo,NY
CITrials,3929,Santa Ana,CA
"City Cancer Center, Vijayawada",3298,Vijayawada,Andhra Pradesh
Clarkston Skin Research,3395,Clarkston,MI
Claude Mandel Medical Center,6005,Chicago,IL
Clear Lake Specialties,5992,Webster,TX
"Clearview Medical Research, LLC",5668,Canyon Country,CA
Clearwater Cardiovascular Consultants,3695,Clearwater,FL
"Clemente Diaz, MD",3887,San Juan,PR
CLEVELAND CLINIC,4696,,
CLEVELAND CLINIC TAUSSIG CANCER INST,2801,CLEVELAND,OH
Cleveland VA Medical Research & Education Foundation,3513,Cleveland,OH
"Clifford J. Molin, MD, LTD/Clinical Research Advantage",4619,Las Vegas,Nevada
Clincierge,3729,Philadelphia,PA
ClinCloud,5797,Maitland,FL
Clindox,5769,,
Clinexpert,4005,Budapest,.
Clinical Associates in Research Therapeutics of America,3727,San Antonio,TX
Clinical Best Solutions,3807,,
Clinical HIV Research Unit,5996,Johannesburg,
Clinical Ink,3431,,Pa
Clinical Investigations of Texas,5875,Plano,TX
"Clinical Neuroscience Solutions, Inc.",2924,Orlando,FL
"Clinical Performance Partners, Inc.",2898,Atlanta,GA
Clinical Pharmacology of Miami,3903,Miami,FL
"Clinical Physiology Associates, AMR",4330,College Grove,Tennessee
Clinical research,6073,Kota,Rajasthan
Clinical Research Advantage Corporation,4321,,
"Clinical Research Advantage, Inc.",2471,Tempe,AZ
Clinical Research Associates,4266,Nashville,TN
"Clinical Research Associates of Tidewater, AMR",4340,Norfolk,Virginia
"Clinical Research Associates, Inc.,AMR",4336,Nashville,Tennessee
Clinical Research Atlanta,3658,Stockbridge,Georgia
Clinical Research Center,3709,Praha,
Clinical Research Center of Florida,3226,Pompano Beach,FL
Clinical Research Center of Nevada LLC,2581,Las Vegas,NV
Clinical Research Center of NJ (CRCNJ),3452,Voorhees,NJ
Clinical Research Center of the Carolinas,3715,Charleston,SC
Clinical Research Centers of America,3026,Murray,UT
Clinical Research Connections,4432,Jonesboro,Arkansas
"Clinical Research Consortium Arizona, AMR",4334,Tempe,Arizona
"Clinical Research Consortium Nevada, AMR",4333,Las Vegas,Nevada
"Clinical Research Consultants, LLC",3092,Kansas City,MO
Clinical Research Consulting,5042,Milford,Connecticut
Clinical Research Consulting LLC,3340,Milford,CT
Clinical Research Currents,5502,San Diego,CA
Clinical Research Fastrack LLC,5574,Scottsdale,AZ
"Clinical Research Foundation, Inc.",3535,Louisville,KY
"Clinical Research Institute of Arizona, LLC",3594,Surprise,Arizona
Clinical Research Network Wessex,4232,Southampton,Hampshire
Clinical Research of Central Florida,2758,Lakeland,FL
Clinical Research of Charleston,2949,Mt Pleasant,SC
Clinical Research of Rock Hill,5945,Rock Hill,SC
"Clinical Research of South Florida, AMR",4341,Coral Gables,Florida
"Clinical Research of The Ozarks, Inc.",5609,Rolla,MO
"Clinical Research of West Florida, Inc.",3369,Clearwater,FL
"Clinical Research Partners, LLC",2680,Richmond,VA
Clinical Research Platform Head office Ireland,3738,,Dublin
Clinical Research Platform Head office The Netherlands,3739,Schieweg 52a,
Clinical Research Prime,3468,Idaho Falls,Idaho
Clinical Research Professionals,5604,Chesterfield,MO
"Clinical Research Trials of Florida, Inc.",2623,Tampa,FL
Clinical Research Unit at Rafik Hariri University,4935,"Bir hasan, Jnah,",Beyrouth
Clinical Research Unit at Rafik Hariri University Hospital,3219,"Bir hasan, Jnah",Beirut
Clinical Research Unit at Royal Liverpool University Hospital,4092,Liverpool,.
"Clinical Research Unit, Cancer Care Services, Royal Brisbane & Women's Hospital",3151,Brisbane,Queensland
Clinical Site Services,2566,Glen Burnie,MD
"Clinical Trial Center, Tri-Service General Hospital",4079,Taipei,Taipei
Clinical Trial Facility WVSUMC,6033,iloilo City,Iloilo
Clinical Trial Network,5504,Houston,TX
Clinical Trial Unit Phase I-II,3213,Sevilla,Sevilla
Clinical Trials New Zealand Ltd,3454,Hamilton,Waikato
"Clinical Trials of Arizona, Inc.",4510,Glendale,Arizona
"Clinical Trials of Florida, LLC",5778,Miami,FL
Clinical Trials of South Carolina,2952,Charleston,South Carolina
"Clinical Trials of Texas, Inc",2468,San Antonio,TX
Clinical Trials Research,5690,Lincoln,CA
"Clinical Trials Research, Center For Eye Research",4649,East Melbourne,Victoria
Clinical Trials Solutions,5938,Miami,FL
"ClinicMed Daniluk, Nowak Spólka jawna",3195,BIALYSTOK,BIALYSTOK
Clinipace Worldwide,5854,Morrisville,NC
Cliniques Universitaires Saint Luc,4220,,
Clinithink,5640,Alpharetta,GA
Clinix Health Services of Colorado - Radiant Research,4612,Centennial,Colorado
ClinMed,5991,Phoenix,AZ
"ClinOhio Research Services, LLC",3837,Columbus,OH
CLINOSAR MEXICO,3638,MEXICO,CDMX
Clinova Clinical Trials,4219,Houston,TX
Clinovation Research LLC,6134,Pembroke Pines,FL
Clinovation Research LLC,2665,Weston,FL
ClinPoint Trials,3382,Waxahachie,TX
"ClinSearch, LLC",4430,Chattanooga,Tennessee
"Clinstruct, Inc.",5630,Shrewsbury,MA
Clinvest,2542,Springfield,MO
"CluePoints, Inc",5800,North Andover,MA
CMAX,3127,Adelaide,South Australia
CMJ Medical Enterprises,5950,Chicago,IL
CMUH,4071,Taichung,N/A
CNE of LRC Lviv Regional Clinical Psychiatric Hospital,5765,Lviv,
CNS Network,3079,Garden Grove,CA
Coastal Biomedical Clinical Research - RxTrials Partner Site,2595,Santa Monica,California
"Coastal Carolina Health Care, P.A.",5672,New Bern,NC
"Coastal Clinical Research, AMR",4799,Mobile,Alabama
Coastal Heritage Clinical Research,6007,Hinesville,GA
Coastal Pediatric Research,3736,Charleston,SC
